Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2017,50-54,21347575,10494467,10853108,6.6,6.6,6.6,96.7
2017,55-59,21959910,10677204,11282706,6.8,6.7,6.8,94.6
2017,60-64,19942009,9535084,10406925,6.1,6.0,6.3,91.6
2017,65-69,16803000,7913568,8889432,5.2,4.9,5.4,89.0
2017,70-74,12829683,5939425,6890258,3.9,3.7,4.2,86.2
2017,75-79,8730528,3894868,4835660,2.7,2.4,2.9,80.5
2017,80-84,5960298,2507488,3452810,1.8,1.6,2.1,72.6
2017,85-89,3894581,1481680,2412901,1.2,0.9,1.5,61.4
2017,90-94,1923953,627646,1296307,0.6,0.4,0.8,48.4
2017,95-99,565096,152401,412695,0.2,0.1,0.3,36.9
2017,100+,86784,17943,68841,0.0,0.0,0.0,26.1
2018,Total,327167434,161128679,166038755,100.0,100.0,100.0,97.0
2018,0-4,19810275,10132202,9678073,6.1,6.3,5.8,104.7
2018,5-9,20195642,10315990,9879652,6.2,6.4,6.0,104.4
2018,10-14,20879527,10658840,10220687,6.4,6.6,6.2,104.3
2018,15-19,21097221,10774908,10322313,6.4,6.7,6.2,104.4
2018,20-24,21873579,11201547,10672032,6.7,7.0,6.4,105.0
2018,25-29,23561756,12018838,11542918,7.2,7.5,7.0,104.1
2018,30-34,22136018,11191871,10944147,6.8,6.9,6.6,102.3
2018,35-39,21563587,10790190,10773397,6.6,6.7,6.5,100.2
2018,40-44,19714301,9797410,9916891,6.0,6.1,6.0,98.8
2018,45-49,20747135,10263995,10483140,6.3,6.4,6.3,97.9
2018,50-54,20884564,10277207,10607357,6.4,6.4,6.4,96.9
2018,55-59,21940985,10669327,11271658,6.7,6.6,6.8,94.7
2018,60-64,20331651,9729536,10602115,6.2,6.0,6.4,91.8
2018,65-69,17086893,8034813,9052080,5.2,5.0,5.5,88.8
2018,70-74,13405423,6211272,7194151,4.1,3.9,4.3,86.3
2018,75-79,9267066,4144674,5122392,2.8,2.6,3.1,80.9
2018,80-84,6127308,2590366,3536942,1.9,1.6,2.1,73.2
2018,85-89,3898995,1496255,2402740,1.2,0.9,1.4,62.3
2018,90-94,1958772,646642,1312130,0.6,0.4,0.8,49.3
2018,95-99,592809,162814,429995,0.2,0.1,0.3,37.9
2018,100+,93927,19982,73945,0.0,0.0,0.0,27.0
2019,Total,330268840,162705430,167563410,100.0,100.0,100.0,97.1
2019,0-4,20304120,10376910,9927210,6.1,6.4,5.9,104.5
2019,5-9,20180503,10312934,9867569,6.1,6.3,5.9,104.5
